2018-10-14 14:46:49,592 [main] ERROR library.DicLibrary - Init dic library error :org.ansj.exception.LibraryException:  path :library/default.dic file:D:\javaworkspace\NewsCertify-Common\library\default.dic not found or can not to read, path: library/default.dic
2018-10-14 14:47:10,667 [main] WARN  util.MyStaticValue - not find library.properties in classpath use it by default !
2018-10-14 14:47:10,672 [main] ERROR library.AmbiguityLibrary - Init ambiguity library error :org.ansj.exception.LibraryException:  path :library/ambiguity.dic file:D:\javaworkspace\NewsCertify-Common\library\ambiguity.dic not found or can not to read, path: library/ambiguity.dic
2018-10-14 14:47:10,673 [main] ERROR library.DicLibrary - Init dic library error :org.ansj.exception.LibraryException:  path :library/default.dic file:D:\javaworkspace\NewsCertify-Common\library\default.dic not found or can not to read, path: library/default.dic
2018-10-14 14:47:57,651 [main] WARN  util.MyStaticValue - not find library.properties in classpath use it by default !
2018-10-14 14:47:57,655 [main] ERROR library.AmbiguityLibrary - Init ambiguity library error :org.ansj.exception.LibraryException:  path :library/ambiguity.dic file:D:\javaworkspace\NewsCertify-Common\library\ambiguity.dic not found or can not to read, path: library/ambiguity.dic
2018-10-14 14:47:57,656 [main] ERROR library.DicLibrary - Init dic library error :org.ansj.exception.LibraryException:  path :library/default.dic file:D:\javaworkspace\NewsCertify-Common\library\default.dic not found or can not to read, path: library/default.dic
2018-10-14 14:48:53,724 [main] WARN  util.MyStaticValue - not find library.properties in classpath use it by default !
2018-10-14 14:48:53,727 [main] ERROR library.AmbiguityLibrary - Init ambiguity library error :org.ansj.exception.LibraryException:  path :library/ambiguity.dic file:D:\javaworkspace\NewsCertify-Common\library\ambiguity.dic not found or can not to read, path: library/ambiguity.dic
2018-10-14 14:48:53,728 [main] ERROR library.DicLibrary - Init dic library error :org.ansj.exception.LibraryException:  path :library/default.dic file:D:\javaworkspace\NewsCertify-Common\library\default.dic not found or can not to read, path: library/default.dic
2018-10-14 14:51:02,823 [main] WARN  util.MyStaticValue - not find library.properties in classpath use it by default !
2018-10-14 14:51:02,826 [main] ERROR library.AmbiguityLibrary - Init ambiguity library error :org.ansj.exception.LibraryException:  path :library/ambiguity.dic file:D:\javaworkspace\NewsCertify-Common\library\ambiguity.dic not found or can not to read, path: library/ambiguity.dic
